cookie_id,item_id,item_recommend_rank
1,4,1
1,17,2
1,16,3
2,18,1
2,2,2
5,16,1
5,11,2
6,16,1
6,13,2
6,11,3
6,4,4
7,15,1
7,16,2
9,11,1
9,18,2
9,6,3
10,12,1
10,13,2
11,12,1
11,18,2
11,2,3
12,14,1
12,18,2
12,3,3
14,11,1
14,16,2
14,15,3
14,18,4
14,17,5
14,19,6
15,15,1
15,16,2
16,7,1
16,15,2
16,16,3
17,16,1
17,18,2
17,6,3
18,12,1
18,13,2
18,18,3
18,5,4
19,17,1
19,18,2
19,12,3
19,13,4
19,19,5
22,15,1
22,16,2
22,7,3
22,5,4
23,11,1
23,18,2
24,12,1
25,13,1
25,16,2
25,17,3
25,11,4
26,15,1
26,16,2
26,17,3
26,18,4
26,2,5
27,14,1
27,18,2
28,15,1
28,16,2
28,17,3
29,18,1
29,16,2
30,14,1
32,16,1
32,11,2
32,15,3
31,11,1
31,15,2
31,16,3
31,18,4
33,12,1
33,10,2
34,13,1
34,12,2
35,14,1
36,16,1
37,12,1
37,13,2
38,16,1
38,17,2
38,6,3
39,12,1
39,13,2
39,18,3
39,5,4
40,16,1
40,18,2
40,15,3
41,15,1
41,16,2
42,14,1
42,10,2
42,18,3
43,15,1
43,16,2
43,11,3
43,7,4
44,15,1
44,16,2
44,7,3
45,13,1
45,18,2
46,14,1
46,18,2
47,16,1
47,18,2
48,14,1
49,12,1
49,13,2
50,12,1
50,13,2
51,16,1
52,13,1
52,12,2
52,16,3
52,15,4
52,11,5
53,7,1
53,16,2
53,11,3
54,16,1
54,7,2
