cookie_id,item_id,item_recommend_rank,potential_1,potential_2,potential_3,potential_4,potential_5,potential_6,potential_7,potential_8
1,4,1,1,0,3,4,0,0,0,0
1,17,2,2,1,1,4,0,0,0,0
1,16,3,1,0,3,4,0,0,0,0
2,18,1,2,0,4,2,0,0,0,0
2,2,2,1,0,4,3,0,0,0,0
5,16,1,2,0,4,2,0,0,0,0
5,11,2,2,2,3,1,0,0,0,0
6,16,1,2,1,4,1,0,0,0,0
6,13,2,2,3,2,1,0,0,0,0
6,11,3,2,3,3,0,0,0,0,0
6,4,4,1,2,4,1,0,0,0,0
7,15,1,2,2,4,0,0,0,0,0
7,16,2,2,0,5,1,0,0,0,0
9,11,1,2,0,3,3,0,0,0,0
9,18,2,2,0,3,3,0,0,0,0
9,6,3,1,0,4,3,0,0,0,0
10,12,1,2,1,1,0,0,0,0,0
10,13,2,2,2,0,0,0,0,0,0
11,12,1,2,1,1,0,0,0,0,4
11,18,2,2,0,4,2,0,0,0,0
11,2,3,1,1,4,2,0,0,0,0
12,14,1,2,2,0,0,0,0,4,0
12,18,2,2,2,3,1,0,0,0,0
12,3,3,2,4,2,0,0,0,0,0
14,11,1,2,1,4,1,0,0,0,0
14,16,2,1,0,5,2,0,0,0,0
14,15,3,2,1,4,1,0,0,0,0
14,18,4,2,1,4,1,0,0,0,0
14,17,5,2,1,4,1,0,0,0,0
14,19,6,1,1,5,1,0,0,0,0
15,15,1,2,2,4,0,0,0,0,0
15,16,2,2,0,5,1,0,0,0,0
16,7,1,0,0,4,0,0,4,0,0
16,15,2,2,3,3,0,0,0,0,0
16,16,3,2,2,4,0,0,0,0,0
17,16,1,2,1,5,0,0,0,0,0
17,18,2,2,2,4,0,0,0,0,0
17,6,3,0,3,5,0,0,0,0,0
18,12,1,2,1,1,0,0,0,0,4
18,13,2,2,2,0,0,0,0,0,4
18,18,3,2,0,4,2,0,0,0,0
18,5,4,0,0,5,3,0,0,0,0
19,17,1,2,0,4,2,0,0,0,0
19,18,2,2,0,4,2,0,0,0,0
19,12,3,2,0,4,2,0,0,0,0
19,13,4,2,1,3,2,0,0,0,0
19,19,5,0,0,5,3,0,0,0,0
22,15,1,2,1,2,3,0,0,0,0
22,16,2,0,0,4,4,0,0,0,0
22,7,3,0,0,4,4,0,0,0,0
22,5,4,0,1,4,3,0,0,0,0
23,11,1,1,0,4,3,0,0,0,0
23,18,2,1,0,4,3,0,0,0,0
24,12,1,2,1,1,0,0,0,0,4
25,13,1,2,2,0,0,0,0,0,4
25,16,2,0,0,5,3,0,0,0,0
25,17,3,1,1,4,2,0,0,0,0
25,11,4,1,1,4,2,0,0,0,0
26,15,1,2,3,2,1,0,0,0,0
26,16,2,1,1,4,2,0,0,0,0
26,17,3,2,3,2,1,0,0,0,0
26,18,4,2,3,2,1,0,0,0,0
26,2,5,0,2,4,2,0,0,0,0
27,14,1,1,0,3,0,0,0,4,0
27,18,2,2,1,4,1,0,0,0,0
28,15,1,2,3,0,3,0,0,0,0
28,16,2,1,2,1,4,0,0,0,0
28,17,3,2,3,0,3,0,0,0,0
29,18,1,2,3,1,2,0,0,0,0
29,16,2,1,1,2,4,0,0,0,0
30,14,1,2,2,0,0,0,0,4,0
32,16,1,2,1,4,1,0,0,0,0
32,11,2,2,3,3,0,0,0,0,0
32,15,3,2,3,2,1,0,0,0,0
31,11,1,2,3,1,2,0,0,0,0
31,15,2,2,2,1,3,0,0,0,0
31,16,3,2,1,2,3,0,0,0,0
31,18,4,2,1,1,0,0,4,0,0
33,12,1,0,4,0,0,0,0,0,4
33,10,2,0,4,0,0,0,0,0,4
34,13,1,2,1,3,2,0,0,0,0
34,12,2,2,0,4,2,0,0,0,0
35,14,1,2,2,0,0,0,0,4,0
36,16,1,0,1,5,2,0,0,0,0
37,12,1,1,1,4,2,0,0,0,0
37,13,2,1,1,3,3,0,0,0,0
38,16,1,0,0,5,3,0,0,0,0
38,17,2,2,0,4,2,0,0,0,0
38,6,3,0,0,5,3,0,0,0,0
39,12,1,1,1,3,3,0,0,0,0
39,13,2,2,1,2,3,0,0,0,0
39,18,3,2,2,2,2,0,0,0,0
39,5,4,0,1,4,3,0,0,0,0
40,16,1,0,0,4,4,0,0,0,0
40,18,2,2,2,2,2,0,0,0,0
40,15,3,2,1,2,3,0,0,0,0
41,15,1,2,3,2,1,0,0,0,0
41,16,2,1,1,3,3,0,0,0,0
42,14,1,2,2,0,0,0,0,4,0
42,10,2,2,1,1,0,0,0,4,0
42,18,3,2,4,2,0,0,0,0,0
43,15,1,2,0,1,1,0,4,0,0
43,16,2,2,1,2,3,0,0,0,0
43,11,3,2,3,1,2,0,0,0,0
43,7,4,1,0,2,1,0,4,0,0
44,15,1,2,0,3,3,0,0,0,0
44,16,2,1,0,4,3,0,0,0,0
44,7,3,1,0,4,3,0,0,0,0
45,13,1,2,0,3,3,0,0,0,0
45,18,2,2,0,4,2,0,0,0,0
46,14,1,2,4,2,0,0,0,0,0
46,18,2,2,2,3,1,0,0,0,0
47,16,1,1,1,5,1,0,0,0,0
47,18,2,2,3,3,0,0,0,0,0
48,14,1,2,2,0,0,0,0,4,0
49,12,1,1,1,3,3,0,0,0,0
49,13,2,2,1,2,3,0,0,0,0
50,12,1,2,1,3,2,0,0,0,0
50,13,2,2,1,2,3,0,0,0,0
51,16,1,1,0,3,4,0,0,0,0
52,13,1,2,0,2,0,0,0,0,4
52,12,2,2,0,2,0,0,0,0,4
52,16,3,2,0,3,0,0,0,0,3
52,15,4,2,0,2,0,0,0,0,4
52,11,5,2,1,2,0,0,0,0,3
53,7,1,1,0,3,0,0,4,0,0
53,16,2,1,0,3,0,0,4,0,0
53,11,3,2,4,2,0,0,0,0,0
54,16,1,2,1,3,2,0,0,0,0
54,7,2,2,1,3,2,0,0,0,0
